"","Country","Population (1000s)","Adults (1000s)","Share of world population (%)","Share of adult population (%)","Wealth per capita","Wealth per adult","Share of world wealth (%)","GDP per capita","Share of world GDP (%)","Wealth Gini","XS.64.GB","XS.Max.64.GB","XR.64.GB","GDP","Pop.Density"
"1","Australia","19071","13690","0.31","0.37","90906","126635","1.08","27193","1.11","0.622",1160.03,1281.09,875.19,"1,427.77","3.202"
"2","Austria","8096","6271","0.13","0.17","73047","94305","0.37","24836","0.43","0.646",1289.24,1401.45,952.63,"459.401","106.749"
"3","Belgium","10304","7896","0.17","0.21","86208","112492","0.55","25008","0.55","0.662",1300.46,1412.67,963.85,"536.055","375.564"
"4","Brazil","173858","104213","2.86","2.82","62676","80825","2.13","16397","2.88","0.620",1887.12,2068.1,1344.17,"1,909.39","25.04"
"5","Canada","30689","22764","0.50","0.62","89252","120326","1.70","28731","1.89","0.688",1033.69,1138.64,771.34,"1,733.71","4.037"
"6","China","1251788","842063","20.57","22.77","11267","16749","8.77","3844","10.30","0.550",1296.08,1430.17,968.29,"13,457.27","147.674"
"7","Czech Republic","10267","7889","0.17","0.21","32431","42205","0.21","14844","0.33","0.626",1305,1435.54,978.64,"244.54","137.176"
"8","Denmark","5340","4072","0.09","0.11","66191","86807","0.22","28539","0.33","0.808",1337.61,1472.89,1006.93,"354.683","136.52"
"9","Finland","5177","3905","0.09","0.11","53154","70461","0.17","24416","0.27","0.615",1322.9,1435.11,986.29,"276.553","18.136"
"10","France","59278","44358","0.97","1.20","94557","126360","3.49","23614","3.00","0.730",1296.29,1408.49,959.67,"2,794.70","122.578"
"11","Germany","82344","64810","1.35","1.75","90768","115325","4.65","23917","4.22","0.667",1289.24,1401.45,952.63,"4,029.14","237.016"
"12","Hungary","10226","7834","0.17","0.21","31452","41055","0.20","11063","0.24","0.651",1395.66,1535.23,1046.74,"156.393","108.043"
"13","India","1021084","570595","16.78","15.43","6513","11655","4.14","2684","5.87","0.669",1377.77,1580.83,1015.2,"2,689.99","450.419"
"14","Ireland","4700","2646","0.08","0.08","91432","131367","0.22","27197","0.22","0.581",1322.9,1435.11,986.29,"366.448","69.874"
"15","Italy","57715","46416","0.95","1.26","120897","150327","4.34","22876","2.83","0.609",1334.12,1446.33,997.51,"2,086.91","205.859"
"16","Japan","127034","100933","2.09","2.73","124858","157146","9.86","25924","7.05","0.547",1014.44,1122.36,762.63,"5,070.63","347.778"
"17","Luxembourg","435","328","0.01","0.01","185231","245479","0.05","48968","0.05","0.650",1257.47,1365.98,931.99,"68.993","231.447"
"18","Malaysia","22997","12944","0.38","0.35","12458","22135","0.18","9422","0.46","0.733",1224.16,1322.12,881.33,"347.29","96.254"
"19","Mexico","100088","56132","1.65","1.52","23488","41881","1.46","9711","2.08","0.749",1274.83,1404.92,962.62,"1,199.26","66.444"
"20","Netherlands","15898","12046","0.26","0.33","121165","159910","1.20","25759","0.88","0.650",1300.46,1412.67,963.85,"909.887","508.544"
"21","New Zealand","4518","2678","0.07","0.07","55823","79585","0.13","20008","0.16","0.651",1295.67,1432.13,954.53,"205.997","18.206"
"22","Norway","4502","3337","0.07","0.09","79292","106970","0.22","32057","0.31","0.633",1338.99,1478.83,1012.69,"441.439","14.462"
"23","Philippines","75766","39206","1.25","1.06","12453","24066","0.59","4065","0.66","0.717",1297.52,1431.11,973.09,"331.678","351.873"
"24","Poland","38649","27858","0.64","0.75","24654","34204","0.59","9661","0.80","0.657",1300.27,1430.85,973.84,"549.478","124.027"
"25","Portugal","10225","7878","0.17","0.21","53811","69840","0.34","17089","0.37","0.667",1322.9,1435.11,986.29,"237.962","112.371"
"26","Singapore","4017","2890","0.07","0.08","113632","157942","0.28","28644","0.25","0.689",1217.51,1328.26,907.41,"346.621","7,915.73"
"27","Spain","40717","32165","0.67","0.87","93086","117837","2.36","19037","1.66","0.570",1300.46,1412.67,963.85,"1,437.05","93.105"
"28","Sweden","8877","6735","0.15","0.18","78148","102996","0.43","24628","0.47","0.742",1380.28,1509.73,1024.29,"554.659","24.718"
"29","Switzerland","7167","5497","0.12","0.15","137549","179345","0.61","28209","0.43","0.803",1201.98,1302.23,881.18,"709.118","214.243"
"30","Thailand","61438","40160","1.01","1.09","13920","21295","0.53","6715","0.88","0.710",1258.04,1384.16,942.74,"490.12","135.132"
"31","Turkey","68234","40391","1.12","1.09","22379","37806","0.95","7414","1.08","0.718",1801.32,1965.09,1346.39,"713.513","104.914"
"32","United Kingdom","58670","43871","0.96","1.19","128959","172461","4.71","24252","3.09","0.697",1312.69,1444.09,984.19,"2,808.90","272.898"
"33","United States","284154","202865","4.67","5.49","143727","201319","25.40","35619","21.67","0.801",999,1099,749,"20,513.00","35.608"
