Country,GDP
Afghanistan,20.367
Albania,15.121
Algeria,188.342
Angola,114.504
Antigua and Barbuda,1.612
Argentina,475.429
Armenia,12.533
Aruba,2.784
Australia,"1,427.77"
Austria,459.401
Azerbaijan,45.592
The Bahamas,12.928
Bahrain,39.3
Bangladesh,286.275
Barbados,5.172
Belarus,56.934
Belgium,536.055
Belize,1.912
Benin,10.546
Bhutan,2.624
Bolivia,41.833
Bosnia and Herzegovina,19.984
Botswana,19.07
Brazil,"1,909.39"
Brunei Darussalam,14.695
Bulgaria,63.651
Burkina Faso,14.284
Burundi,3.436
Cabo Verde,1.972
Cambodia,24.141
Cameroon,38.445
Canada,"1,733.71"
Central African Republic,2.307
Chad,11.112
Chile,299.887
China,"13,457.27"
Colombia,336.94
Comoros,0.745
Democratic Republic of the Congo,42.692
Republic of Congo,11.46
Costa Rica,60.816
C“te d'Ivoire,45.875
Croatia,59.971
Cyprus,23.963
Czech Republic,244.54
Denmark,354.683
Djibouti,2.187
Dominica,0.485
Dominican Republic,81.103
Ecuador,107.266
Egypt,249.471
El Salvador,25.855
Equatorial Guinea,13.225
Eritrea,6.722
Estonia,29.527
Eswatini,4.756
Ethiopia,83.836
Fiji,5.223
Finland,276.553
France,"2,794.70"
Gabon,17.212
The Gambia,1.605
Georgia,16.716
Germany,"4,029.14"
Ghana,51.815
Greece,218.057
Grenada,1.192
Guatemala,79.109
Guinea,11.503
Guinea-Bissau,1.48
Guyana,3.636
Haiti,9.717
Honduras,23.835
Hong Kong SAR,360.315
Hungary,156.393
Iceland,26.674
India,"2,689.99"
Indonesia,"1,005.27"
Islamic Republic of Iran,430.082
Iraq,230.911
Ireland,366.448
Israel,365.599
Italy,"2,086.91"
Jamaica,15.424
Japan,"5,070.63"
Jordan,41.869
Kazakhstan,184.209
Kenya,89.591
Kiribati,0.205
Korea,"1,655.61"
Kosovo,7.839
Kuwait,144.523
Kyrgyz Republic,8.013
Lao P.D.R.,18.23
Latvia,34.286
Lebanon,56.709
Lesotho,2.981
Liberia,3.218
Libya,43.236
Lithuania,52.468
Luxembourg,68.993
Macao SAR,53.961
FYR Macedonia,12.374
Madagascar,12.499
Malawi,6.885
Malaysia,347.29
Maldives,4.809
Mali,17.407
Malta,14.27
Marshall Islands,0.23
Mauritania,5.2
Mauritius,14.033
Mexico,"1,199.26"
Micronesia,0.335
Moldova,11.436
Mongolia,12.724
Montenegro,5.389
Morocco,118.178
Mozambique,14.601
Myanmar,71.543
Namibia,14.148
Nauru,0.117
Nepal,28.813
Netherlands,909.887
New Zealand,205.997
Nicaragua,13.38
Niger,9.458
Nigeria,397.472
Norway,441.439
Oman,81.682
Pakistan,306.897
Palau,0.3
Panama,66.031
Papua New Guinea,20.767
Paraguay,41.851
Peru,228.944
Philippines,331.678
Poland,549.478
Portugal,237.962
Puerto Rico,104.557
Qatar,188.295
Romania,239.44
Russia,"1,576.49"
Rwanda,9.709
Samoa,0.878
San Marino,1.769
S?o Tom‚ and Pr¡ncipe,0.45
Saudi Arabia,769.878
Senegal,24.24
Serbia,47.654
Seychelles,1.564
Sierra Leone,3.754
Singapore,346.621
Slovak Republic,106.94
Slovenia,54.969
Solomon Islands,1.424
Somalia,7.405
South Africa,376.679
South Sudan,3.98
Spain,"1,437.05"
Sri Lanka,92.504
St. Kitts and Nevis,1.005
St. Lucia,1.774
St. Vincent and the Grenadines,0.828
Sudan,33.249
Suriname,3.84
Sweden,554.659
Switzerland,709.118
Syria,n/a
Taiwan Province of China,602.678
Tajikistan,7.35
Tanzania,55.645
Thailand,490.12
Timor-Leste,3.155
Togo,5.347
Tonga,0.468
Trinidad and Tobago,23.284
Tunisia,41.662
Turkey,713.513
Turkmenistan,42.764
Tuvalu,0.045
Uganda,27.855
Ukraine,126.39
United Arab Emirates,432.612
United Kingdom,"2,808.90"
United States,"20,513.00"
Uruguay,60.933
Uzbekistan,43.303
Vanuatu,0.957
Venezuela,96.328
Vietnam,241.434
Yemen,28.524
Zambia,25.778
Zimbabwe,19.367
